X	X0	ensg	hgnc_symbol	chromosome_name
ENSG00000235185	308	ENSG00000235185_RP5-1056L3.1	ENSG00000235185		1
ENSG00000270136	309	ENSG00000270136_MINOS1-NBL1	ENSG00000270136	MICOS10-NBL1	1
ENSG00000173436	310	ENSG00000173436_MINOS1	ENSG00000173436	MICOS10	1
ENSG00000158747	311	ENSG00000158747_NBL1	ENSG00000158747	NBL1	1
ENSG00000158748	312	ENSG00000158748_HTR6	ENSG00000158748	HTR6	1
ENSG00000162542	313	ENSG00000162542_TMCO4	ENSG00000162542	TMCO4	1
ENSG00000169914	314	ENSG00000169914_OTUD3	ENSG00000169914	OTUD3	1
ENSG00000188257	315	ENSG00000188257_PLA2G2A	ENSG00000188257	PLA2G2A	1
ENSG00000127472	316	ENSG00000127472_PLA2G5	ENSG00000127472	PLA2G5	1
ENSG00000117215	317	ENSG00000117215_PLA2G2D	ENSG00000117215	PLA2G2D	1
ENSG00000158786	318	ENSG00000158786_PLA2G2F	ENSG00000158786	PLA2G2F	1
ENSG00000227066	319	ENSG00000227066_RP3-340N1.2	ENSG00000227066		1
ENSG00000187980	320	ENSG00000187980_PLA2G2C	ENSG00000187980	PLA2G2C	1
